Ngày đặt hàng,Mã đơn hàng,Barcode,Tên sản phẩm,Tên phân loại hàng,Số lượng,Giá bán thực,Người Mua,Phương thức thanh toán,Tỉnh/Thành phố,Hủy bởi,Hủy với lý do,Trạng thái Trả hàng/Hoàn tiền,Thời gian hoàn thành đơn hàng
08/03/2021,210308RBV2X22P,4063697919877,PUMA ULTRA 4.2 TT - 106357-01 - XANH/ VÀNG,44,1,1450000,t_h.vn,Thanh toán khi nhận hàng,An Giang,,,,14/03/2021
11/03/2021,2103113GKSDQ1R,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,maiquynh203,Thanh toán khi nhận hàng,Đắk Lắk,,,,16/03/2021
13/03/2021,2103139NGGCC0P,4062053843269,ADIDAS X TANGO 19.3 TF – EG7155 – XANH HOÀNG GIA/ TRẮNG,43 1/3,1,1290000,giaphu20056,Thanh toán khi nhận hàng,Cần Thơ,,,,16/03/2021
13/03/2021,2103139T79XYV5,VOTHF-1,Vớ lẻ THF,Trắng,1,30000,caodanhtoai,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
15/03/2021,210315EY59NTQY,4573103657816,VỚ DÀI ACTIVITAL FOOT SUPPORTER DOUBLE XX - GSM05-BK - ĐEN (BẢN CẢI TIẾN),S [23cm-25cm],1,420000,Th02,Thanh toán khi nhận hàng,Đắk Nông,,,,17/03/2021
15/03/2021,210315EY5PX2RU,192499444301,NIKE MERCURIAL SUPERFLYX 6 ELITE IC - AH7373-801 - CAM / TRẮNG,40,1,1950000,yensaobaochau_2021,Thanh toán khi nhận hàng,Cần Thơ,,,,21/03/2021
16/03/2021,210316GD59V4KH,194276566565,NIKE MERCURIAL VAPOR 13 PRO TF – AT8004-060 – ĐEN/ĐỎ,40.5,1,2250000,thanhhaileo,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
16/03/2021,210316GD59V4KH,VOTHF-1,Vớ lẻ THF,Trắng,1,0,thanhhaileo,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
16/03/2021,210316GD59V4KH,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,thanhhaileo,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
16/03/2021,210316H7UNR6AX,4589527206103,VỚ ACTIVITAL FOOT SUPPORTER CLASSIC - GSM01-BL - ĐEN,L-LL [26.0cm-29.0cm],1,310000,villabi,Thanh toán khi nhận hàng,Phú Yên,,,,22/03/2021
